node	all_nodes	bacteria_layer	bindingprot_layer	ppi_layer	tf_layer	deg_layer	gene_symbol	LinkerHeats	avg_log2FC
Q13705	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ACVR2B	0.2117666951830467	
P84022	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	SMAD3	0.2354060645366003	
P55055	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	NR1H2	0.025188082698847	
Q14012	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CAMK1	0.1196706300016387	
P04899	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	GNAI2	0.1103146238706796	
Q9H1C0	bindingprot,bindingprot and/or protein,nan	NA	bindingprot	bindingprot and/or protein,nan	NA	NA	LPAR5	0.008011503025384	
Q13761	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	RUNX3	0.6077739754359135	
Q05209	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PTPN12	0.2540536208982805	
Q00534	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CDK6	0.2051366317840912	
P06400	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	RB1	0.1413042402967917	
P17181	bindingprot,bindingprot and/or protein,protein and/or tf	NA	bindingprot	bindingprot and/or protein,protein and/or tf	NA	NA	IFNAR1	0.1650189745926039	
P04792	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	HSPB1	0.1552375128620075	
P53350	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PLK1	0.1158942567820473	
P45984	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MAPK9	0.1950174892675779	
Q15596	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	NCOA2	0.0811168738295322	
Q15653	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	NFKBIB	0.0900750087303251	
P48551	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	IFNAR2	0.4506263626952794	
Q13526	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PIN1	0.3494567202839703	
P67809	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	YBX1	0.376894451891569	
P16298	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PPP3CB	0.089199204277682	
P42574	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CASP3	0.2733680019179681	
P07947	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	YES1	0.1466732449069572	
P36507	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MAP2K2	0.19956529061122	
P54646	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PRKAA2	0.1538527033207177	
Q96JA1	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	LRIG1	0.0523286075789099	
P78324	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SIRPA	0.1016181867601367	
P11309	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PIM1	0.1183815741607185	
Q15118	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PDK1	0.2699882588957203	
P01116	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	KRAS	0.1900164813485692	
Q00653	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	NFKB2	0.0773248491508399	
Q9Y2W1	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	THRAP3	0.0727792715008343	
P37173	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	TGFBR2	0.2140654647636619	
P62136	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PPP1CA	0.1435914703778015	
Q9C0B5	bindingprot,bindingprot and/or protein,nan	NA	bindingprot	bindingprot and/or protein,nan	NA	NA	ZDHHC5	0.1612896247091736	
Q15831	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	STK11	0.1111654048418794	
Q04724	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	TLE1	0.0562291297137695	
Q08050	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	FOXM1	0.187936895207279	
Q16665	bindingprot and/or protein,protein and/or tf,tf,deg	NA	NA	bindingprot and/or protein,protein and/or tf	tf	deg	HIF1A	0.252343324870812	1.02047280610088
P29350	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PTPN6	0.2836817624787455	
Q13287	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	NMI	0.0252059371801041	
P08047	bindingprot and/or protein,protein and/or tf,tf,deg	NA	NA	bindingprot and/or protein,protein and/or tf	tf	deg	SP1	0.201799559128144	4.2878212081925
Q14118	bindingprot,bindingprot and/or protein,nan	NA	bindingprot	bindingprot and/or protein,nan	NA	NA	DAG1	0.0468746640706862	
Q15910	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	EZH2	0.3529507260298142	
P29466	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CASP1	0.114162661403057	
Q01974	bindingprot,bindingprot and/or protein,nan	NA	bindingprot	bindingprot and/or protein,nan	NA	NA	ROR2	0.1129316709711404	
Q05397	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PTK2	0.2285365576427456	
P36402	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	TCF7	0.0792458171066297	
P31431	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SDC4	0.1202332994341875	
Q9H1B7	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	IRF2BPL	0.1150685667213004	
Q14457	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	BECN1	0.1010706134552852	
Q04771	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ACVR1	0.3256308793698184	
Q9NR61	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	DLL4	0.1195565984714946	
Q8N6T7	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SIRT6	0.2106661847386534	
Q15717	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ELAVL1	0.476717918911535	
Q9HBY8	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SGK2	0.14794647065514	
Q9UJM3	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ERRFI1	0.0999803255182024	
Q13547	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	HDAC1	0.094817484286416	
P27348	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	YWHAQ	0.0920799685294846	
P48454	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PPP3CC	0.0884255765264529	
P10588	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	NR2F6	0.0431792120340219	
Q92878	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	RAD50	0.0287765499259125	
P49023	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PXN	0.3256372984043785	
P0DP25	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CALM3	0.1308629711696807	
Q13467	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	FZD5	0.0570255441831793	
O15105	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	SMAD7	0.2471712343842007	
P05556	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ITGB1	0.123574228432675	
P31751	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	AKT2	0.219435197834565	
Q9UBW7	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ZMYM2	0.0837024220082692	
P10912	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	GHR	0.1907715204488901	
P42684	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ABL2	0.2089287202869683	
Q99623	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PHB2	0.0442178905114676	
Q96AE4	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	FUBP1	0.1319411679348112	
O00560	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SDCBP	0.0642876561669483	
O14920	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	IKBKB	0.3935186633516578	
Q13573	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SNW1	0.6120604808129385	
Q00987	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MDM2	0.2529231950761626	
P27540	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	ARNT	0.0663776303447871	
P16144	bindingprot,bindingprot and/or protein,protein and/or tf	NA	bindingprot	bindingprot and/or protein,protein and/or tf	NA	NA	ITGB4	0.1033477384842613	
P41182	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	BCL6	0.1047496624209559	
O75925	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	PIAS1	0.1333662643468216	
Q13618	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CUL3	0.0619685055879717	
P19174	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PLCG1	0.1705797257365929	
P15260	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	IFNGR1	0.0925358891071489	
O94856	bindingprot,bindingprot and/or protein,nan	NA	bindingprot	bindingprot and/or protein,nan	NA	NA	NFASC	0.0288107659207993	
P98082	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	DAB2	0.1973444477195635	
Q9UIW2	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PLXNA1	0.0901069217372915	
P17275	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	JUNB	0.1667729610989851	
Q13363	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CTBP1	0.0723371707177232	
P20333	bindingprot,bindingprot and/or protein,nan	NA	bindingprot	bindingprot and/or protein,nan	NA	NA	TNFRSF1B	0.0742088661773959	
Q99708	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	RBBP8	0.0429121442554357	
Q15796	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	SMAD2	0.2255188602653546	
Q13671	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	RIN1	0.131262727160093	6.62083950799287
P07954	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	FH	0.022181136070405	
P10599	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	TXN	0.0693355525619321	
P25963	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	NFKBIA	0.1582067416221359	
O00571	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	DDX3X	0.1359838470722583	
Q13444	bindingprot,bindingprot and/or protein,nan	NA	bindingprot	bindingprot and/or protein,nan	NA	NA	ADAM15	0.038808918891275	
Q14258	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	TRIM25	0.0608424227389305	
P16333	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	NCK1	0.1165024858722177	
O43318	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MAP3K7	0.1885910976544499	
P12643	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	BMP2	0.0538332196072634	
Q9P0J1	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PDP1	0.1371777551109256	
Q12986	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	NFX1	0.0168858306105174	
Q9Y5S8	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	NOX1	0.0858339134893401	
P15529	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CD46	0.0315951809769128	
P78347	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	GTF2I	0.2021010794680782	
P36894	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	BMPR1A	0.2848876113213616	
P37231	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	PPARG	0.1515667496735935	
P07355	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ANXA2	0.0927900287029455	
P07900	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	HSP90AA1	0.25347415806806	
P29323	bindingprot and/or protein,protein and/or tf,deg	NA	NA	bindingprot and/or protein,protein and/or tf	NA	deg	EPHB2	0.0902259023115999	5.60656784827654
Q08999	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	RBL2	0.1238790956063385	
P20749	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	BCL3	0.0659395455703411	
P15941	bindingprot and/or protein,protein and/or tf,deg	NA	NA	bindingprot and/or protein,protein and/or tf	NA	deg	MUC1	0.2671928807345413	5.44897336588881
Q02535	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	ID3	0.0939027299308869	
P60484	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PTEN	0.2705875060318242	
P63000	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	RAC1	0.142797570812366	
P22607	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	FGFR3	0.2404301300904213	
P07948	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	LYN	0.2049809571805425	
Q13322	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	GRB10	0.2497851131911032	
Q16659	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MAPK6	0.0783302622077471	
Q14469	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	HES1	0.6765669943607788	
Q13873	bindingprot,bindingprot and/or protein,nan,deg	NA	bindingprot	bindingprot and/or protein,nan	NA	deg	BMPR2	0.113674324072659	2.5446554696353
P78536	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ADAM17	0.2438169879607653	
P62140	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PPP1CB	0.1324289192432636	
Q96N67	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	DOCK7	0.1099352643323021	
P0DP23	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CALM3	0.1323587971057085	
P15336	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	ATF2	0.1235255928421811	
Q01892	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SPIB	0.0887465012815427	
Q14451	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	GRB7	0.0841018172397392	
Q9Y478	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PRKAB1	0.1077280687732057	
P07384	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CAPN1	0.2549227953207513	
P06756	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ITGAV	0.0658672790159758	
P26006	bindingprot,bindingprot and/or protein,nan	NA	bindingprot	bindingprot and/or protein,nan	NA	NA	ITGA3	0.0365497466181823	
P24394	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	IL4R	0.1211270593707101	
O00141	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SGK1	0.2774994204647549	
Q03135	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CAV1	0.3293589344127267	
P15692	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	VEGFA	0.2332684985409549	
P41743	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PRKCI	0.1733410620262425	
P42771	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CDKN2A	0.1172148566605287	
O95405	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ZFYVE9	0.0581800317324176	
P31943	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	HNRNPH1	0.1045066945529496	
O14965	bindingprot and/or protein,protein and/or tf,deg	NA	NA	bindingprot and/or protein,protein and/or tf	NA	deg	AURKA	0.1098874574722435	3.70913140535165
P17844	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	DDX5	0.084883743589583	
P25054	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	APC	0.1692778224352107	
Q99986	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	VRK1	0.061635469227908	
Q14978	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	NOLC1	0.0896980997912467	
P28066	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PSMA5	0.0568116634263752	
P38398	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	BRCA1	0.1446029666291717	
O15379	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	HDAC3	0.2194370089342366	
Q9H1A4	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ANAPC1	0.1177699459783738	
P52657	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	GTF2A2	0.052835571210029	
O15169	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	AXIN1	0.2424905302981281	
Q8IZL2	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MAML2	0.4519664290395872	
Q12888	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	TP53BP1	0.1105747215384076	
Q9Y618	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	NCOR2	0.1519756262505714	
Q9UBN7	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	HDAC6	0.3622147848118223	
P43354	bindingprot and/or protein,protein and/or tf,tf,deg	NA	NA	bindingprot and/or protein,protein and/or tf	tf	deg	NR4A2	0.0722536367474116	4.36445604740292
O15198	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SMAD9	0.1687852731248185	
Q8NFY4	bindingprot,bindingprot and/or protein,nan	NA	bindingprot	bindingprot and/or protein,nan	NA	NA	SEMA6D	0.006784037021905	
O75469	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	NR1I2	0.0487550717620874	
P19838	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	NFKB1	0.1160964387045562	
P24752	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ACAT1	0.0217972984444778	
P14618	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PKM	0.3376144048992824	
Q14145	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	KEAP1	0.0808181682872694	
Q92569	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PIK3R3	0.0732911287372991	
O14980	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	XPO1	0.043899235689068	
Q9ULJ6	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ZMIZ1	0.1117548387234685	
P06730	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	EIF4E	0.2096459702137909	
P10242	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	MYB	0.1448232839684984	
O60341	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	KDM1A	0.0513843208538487	
P53004	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	BLVRA	0.1278569104323818	
P98172	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	EFNB1	0.0296738307984118	
Q96T58	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SPEN	0.1013765570848895	
Q92934	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	BAD	0.163868717470306	
Q96JC1	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	VPS39	0.1335114137098282	
P46109	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CRKL	0.1265898609659187	
Q9Y219	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	JAG2	0.209450091797451	
Q9ULT6	bindingprot,bindingprot and/or protein,nan	NA	bindingprot	bindingprot and/or protein,nan	NA	NA	ZNRF3	0.0280350377288278	
O94875	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SORBS2	0.0999304404540331	
P08651	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	NFIC	0.0733424660997072	
Q96J02	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ITCH	0.2621705254936535	
P12004	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PCNA	0.1230898464295154	
P01112	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	HRAS	0.1658678192167402	
O14744	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PRMT5	0.0894213724117763	
P42685	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	FRK	0.1077179370447233	
P49792	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	RANBP2	0.0784417094029962	
Q06413	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	MEF2C	0.3474450320789686	
Q9BXK1	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	KLF16	0.1053993477246355	
P49789	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	FHIT	0.0912650444864225	
Q8N726	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CDKN2A	0.1068080845365533	
P11940	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PABPC1	0.0936398220829601	
O14543	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SOCS3	0.206163905950372	
Q13501	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SQSTM1	0.0915935696337378	
P05114	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	HMGN1	0.086854906529225	
