source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	curation_effort	references	sources	n_sources	n_primary_sources	n_references	references_stripped
P04637	O95997	TP53	PTTG1	True	True	True	True	False	True	4	CollecTRI:12355087;CollecTRI:12403781;CollecTRI:15016801;DoRothEA:12355087	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA	8	2	3	12355087;12403781;15016801
P08047	O95997	SP1	PTTG1	True	True	False	True	True	False	3	CollecTRI:12403781;CollecTRI:14644503;CollecTRI:18339849	CollecTRI;DoRothEA;ExTRI_CollecTRI;FANTOM4_DoRothEA;TFactS_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA	7	2	3	12403781;14644503;18339849
P53567	P0DJI8	CEBPG	SAA1	True	True	False	True	True	False	2	CollecTRI:12410800;CollecTRI:7706280	CollecTRI;ExTRI_CollecTRI	2	1	2	12410800;7706280
P18847	Q9NQP4	ATF3	PFDN4	True	True	False	True	True	False	1	CollecTRI:12414651	CollecTRI;ExTRI_CollecTRI	2	1	1	12414651
P41182	Q9NQP4	BCL6	PFDN4	True	True	False	True	True	False	1	CollecTRI:12414651	CollecTRI;ExTRI_CollecTRI	2	1	1	12414651
Q14469	Q9UBU7	HES1	DBF4	True	True	False	True	True	False	2	CollecTRI:12420215;DoRothEA:12420215	CollecTRI;DoRothEA;ExTRI_CollecTRI;JASPAR_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA	6	2	1	12420215
P08047	Q9UBU7	SP1	DBF4	True	True	False	True	True	False	2	CollecTRI:12420215;DoRothEA:12420215	CollecTRI;DoRothEA;ExTRI_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA	5	2	1	12420215
P19838	P18510	NFKB1	IL1RN	True	True	False	True	True	False	3	CollecTRI:12423202;CollecTRI:20032313;DoRothEA:20032313	CollecTRI;CytReg_CollecTRI;DoRothEA;ENCODE-distal;ExTRI_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA	9	3	2	12423202;20032313
COMPLEX:Q04206	P18510	RELA	IL1RN	True	True	False	True	True	False	5	CollecTRI:12423202;CollecTRI:16553947;CollecTRI:20032313;CollecTRI:9185517;CollecTRI:9949173	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	4	1	5	12423202;16553947;20032313;9185517;9949173
COMPLEX:P19838	P18510	NFKB1	IL1RN	True	True	False	True	True	False	5	CollecTRI:12423202;CollecTRI:16553947;CollecTRI:20032313;CollecTRI:9185517;CollecTRI:9949173	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	4	1	5	12423202;16553947;20032313;9185517;9949173
COMPLEX:Q01201	P18510	RELB	IL1RN	True	True	False	True	True	False	5	CollecTRI:12423202;CollecTRI:16553947;CollecTRI:20032313;CollecTRI:9185517;CollecTRI:9949173	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	4	1	5	12423202;16553947;20032313;9185517;9949173
COMPLEX:Q00653	P18510	NFKB2	IL1RN	True	True	False	True	True	False	5	CollecTRI:12423202;CollecTRI:16553947;CollecTRI:20032313;CollecTRI:9185517;CollecTRI:9949173	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	4	1	5	12423202;16553947;20032313;9185517;9949173
COMPLEX:Q04864	P18510	REL	IL1RN	True	True	False	True	True	False	5	CollecTRI:12423202;CollecTRI:16553947;CollecTRI:20032313;CollecTRI:9185517;CollecTRI:9949173	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	4	1	5	12423202;16553947;20032313;9185517;9949173
Q04206	P18510	RELA	IL1RN	True	True	False	True	True	False	5	CollecTRI:12423202;CollecTRI:16553947;CollecTRI:20032313;CollecTRI:9185517;DoRothEA:20032313	CollecTRI;CytReg_CollecTRI;DoRothEA;ExTRI_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA	6	2	4	12423202;16553947;20032313;9185517
P14921	P02786	ETS1	TFRC	True	False	True	True	False	True	2	CollecTRI:12439744;CollecTRI:12547252	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	7	2	2	12439744;12547252
Q16254	P16949	E2F4	STMN1	True	True	False	True	True	False	4	CollecTRI:12446714;CollecTRI:17531812;CollecTRI:21247883;HTRIdb:17531812	CollecTRI;DoRothEA;ExTRI_CollecTRI;HTRIdb;NTNU.Curated_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	8	3	3	12446714;17531812;21247883
P41134	P11912	ID1	CD79A	True	True	False	True	True	False	2	CollecTRI:12446773;CollecTRI:18641300	CollecTRI;ExTRI_CollecTRI	2	1	2	12446773;18641300
P20823	P22455	HNF1A	FGFR4	True	True	False	True	True	False	1	CollecTRI:12447688	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	3	1	1	12447688
Q99814	Q16665	EPAS1	HIF1A	True	True	False	False	False	False	2	CollecTRI:12482866;CollecTRI:16924414	CollecTRI;DoRothEA;ExTRI_CollecTRI;PAZAR_DoRothEA;ReMap_DoRothEA	5	2	2	12482866;16924414
P53567	P19957	CEBPG	PI3	True	True	False	True	True	False	1	CollecTRI:12509401	CollecTRI;ExTRI_CollecTRI	2	1	1	12509401
Q99626	Q9BWD1	CDX2	ACAT2	True	True	False	True	True	False	3	CollecTRI:12518221;CollecTRI:16274362;DoRothEA:16274362	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA	6	2	2	12518221;16274362
P01100	P01033	FOS	TIMP1	True	True	False	True	True	False	5	CollecTRI:12525489;CollecTRI:15777790;CollecTRI:2159816;CollecTRI:8601460;CollecTRI:9478976	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA	6	2	5	12525489;15777790;2159816;8601460;9478976
P05412	P01033	JUN	TIMP1	True	True	False	True	True	False	6	CollecTRI:12525489;CollecTRI:15777790;CollecTRI:2159816;CollecTRI:8557686;CollecTRI:8559663;CollecTRI:8601460	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TFactS_CollecTRI;TRED_DoRothEA	8	2	6	12525489;15777790;2159816;8557686;8559663;8601460
Q99626	Q02817	CDX2	MUC2	True	True	False	True	True	False	6	CollecTRI:12559945;CollecTRI:14525978;CollecTRI:16118348;DoRothEA:12559945;HTRIdb:12559945;SIGNOR:12559945	CollecTRI;DoRothEA;ExTRI_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;NTNU.Curated_CollecTRI;SIGNOR;SIGNOR_CollecTRI;TFe_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA	12	4	3	12559945;14525978;16118348
P47902	Q02817	CDX1	MUC2	True	True	False	True	True	False	2	CollecTRI:12559945;CollecTRI:14525978	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	3	1	2	12559945;14525978
P18146	P01033	EGR1	TIMP1	True	True	False	True	True	False	1	CollecTRI:12571843	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA	6	2	1	12571843
Q5T0B9	P01033	ZNF362	TIMP1	True	True	False	True	True	False	1	CollecTRI:12571843	CollecTRI;ExTRI_CollecTRI	2	1	1	12571843
P51692	P30279	STAT5B	CCND2	True	True	False	True	True	False	2	CollecTRI:11160217;CollecTRI:12586844	CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI	3	1	2	11160217;12586844
Q15853	P24468	USF2	NR2F2	True	True	False	True	True	False	1	CollecTRI:12614160	CollecTRI;ExTRI_CollecTRI	2	1	1	12614160
P17096	P08047	HMGA1	SP1	True	True	False	False	False	False	2	CollecTRI:20335021;DoRothEA:20335021	CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA	4	2	1	20335021
P18146	P16070	EGR1	CD44	True	True	False	True	True	False	8	CollecTRI:12670907;CollecTRI:15155664;CollecTRI:15923644;CollecTRI:20357818;CollecTRI:8628295;CollecTRI:8666932;CollecTRI:8773576;DoRothEA:8628295	CollecTRI;DoRothEA;ExTRI_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA	8	2	7	12670907;15155664;15923644;20357818;8628295;8666932;8773576
P32519	P34810	ELF1	CD68	True	True	False	True	True	False	2	CollecTRI:12676954;DoRothEA:12676954	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA	7	2	1	12676954
Q02556	P34810	IRF8	CD68	True	False	True	True	False	True	2	CollecTRI:12676954;DoRothEA:12676954	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;HOCOMOCO_DoRothEA;SIGNOR_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA	8	2	1	12676954
P62380	P16070	TBPL1	CD44	True	True	False	True	True	False	1	CollecTRI:1268252	CollecTRI;ExTRI_CollecTRI	2	1	1	1268252
P56270	P08047	MAZ	SP1	True	True	False	False	False	False	1	CollecTRI:12684688	CollecTRI;ExTRI_CollecTRI	2	1	1	12684688
P67809	P14635	YBX1	CCNB1	True	False	True	True	False	True	3	CollecTRI:12695516;CollecTRI:20596676;DoRothEA:20596676	CollecTRI;DoRothEA;ExTRI_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA	5	2	2	12695516;20596676
P06733	P19875	ENO1	CXCL2	True	True	False	True	True	False	1	CollecTRI:12700240	CollecTRI;ExTRI_CollecTRI	2	1	1	12700240
P04637	Q86Z02	TP53	HIPK1	True	True	False	True	True	False	1	CollecTRI:12702766	CollecTRI;DoRothEA;ExTRI_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA	5	2	1	12702766
P14921	P08047	ETS1	SP1	True	True	False	False	False	False	2	CollecTRI:17656364;CollecTRI:7657162	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;PAZAR_DoRothEA	6	2	2	17656364;7657162
Q16236	P00390	NFE2L2	GSR	True	True	False	True	True	False	5	CollecTRI:12716947;CollecTRI:19028565;CollecTRI:20384467;CollecTRI:21538894;CollecTRI:24525405	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	3	1	5	12716947;19028565;20384467;21538894;24525405
P10914	P08047	IRF1	SP1	True	True	False	True	True	False	2	CollecTRI:12732645;CollecTRI:22890831	CollecTRI;ExTRI_CollecTRI	2	1	2	12732645;22890831
Q07869	P14555	PPARA	PLA2G2A	True	True	False	True	True	False	1	CollecTRI:12782627	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	3	1	1	12782627
P08047	P17252	SP1	PRKCA	True	True	False	True	True	False	3	CollecTRI:12794082;CollecTRI:15563462;CollecTRI:17046201	CollecTRI;DoRothEA;ExTRI_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA	5	2	3	12794082;15563462;17046201
P05412	P17252	JUN	PRKCA	True	True	False	True	True	False	1	CollecTRI:12794082	CollecTRI;ExTRI_CollecTRI	2	1	1	12794082
P43268	Q99102	ETV4	MUC4	True	True	False	True	True	False	3	CollecTRI:12855694;CollecTRI:15461591;DoRothEA:15461591	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;HOCOMOCO_DoRothEA;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA	10	2	2	12855694;15461591
COMPLEX:Q04206	P19875	RELA	CXCL2	True	True	False	True	True	False	13	CollecTRI:12914794;CollecTRI:14597166;CollecTRI:15132979;CollecTRI:15666090;CollecTRI:15722553;CollecTRI:16166378;CollecTRI:17363596;CollecTRI:17449583;CollecTRI:18362169;CollecTRI:24634218;CollecTRI:27076634;CollecTRI:27889620;CollecTRI:28266569	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	5	1	13	12914794;14597166;15132979;15666090;15722553;16166378;17363596;17449583;18362169;24634218;27076634;27889620;28266569
COMPLEX:P19838	P19875	NFKB1	CXCL2	True	True	False	True	True	False	13	CollecTRI:12914794;CollecTRI:14597166;CollecTRI:15132979;CollecTRI:15666090;CollecTRI:15722553;CollecTRI:16166378;CollecTRI:17363596;CollecTRI:17449583;CollecTRI:18362169;CollecTRI:24634218;CollecTRI:27076634;CollecTRI:27889620;CollecTRI:28266569	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	5	1	13	12914794;14597166;15132979;15666090;15722553;16166378;17363596;17449583;18362169;24634218;27076634;27889620;28266569
COMPLEX:Q01201	P19875	RELB	CXCL2	True	True	False	True	True	False	13	CollecTRI:12914794;CollecTRI:14597166;CollecTRI:15132979;CollecTRI:15666090;CollecTRI:15722553;CollecTRI:16166378;CollecTRI:17363596;CollecTRI:17449583;CollecTRI:18362169;CollecTRI:24634218;CollecTRI:27076634;CollecTRI:27889620;CollecTRI:28266569	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	5	1	13	12914794;14597166;15132979;15666090;15722553;16166378;17363596;17449583;18362169;24634218;27076634;27889620;28266569
COMPLEX:Q00653	P19875	NFKB2	CXCL2	True	True	False	True	True	False	13	CollecTRI:12914794;CollecTRI:14597166;CollecTRI:15132979;CollecTRI:15666090;CollecTRI:15722553;CollecTRI:16166378;CollecTRI:17363596;CollecTRI:17449583;CollecTRI:18362169;CollecTRI:24634218;CollecTRI:27076634;CollecTRI:27889620;CollecTRI:28266569	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	5	1	13	12914794;14597166;15132979;15666090;15722553;16166378;17363596;17449583;18362169;24634218;27076634;27889620;28266569
COMPLEX:Q04864	P19875	REL	CXCL2	True	True	False	True	True	False	13	CollecTRI:12914794;CollecTRI:14597166;CollecTRI:15132979;CollecTRI:15666090;CollecTRI:15722553;CollecTRI:16166378;CollecTRI:17363596;CollecTRI:17449583;CollecTRI:18362169;CollecTRI:24634218;CollecTRI:27076634;CollecTRI:27889620;CollecTRI:28266569	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	5	1	13	12914794;14597166;15132979;15666090;15722553;16166378;17363596;17449583;18362169;24634218;27076634;27889620;28266569
P05412	P19875	JUN	CXCL2	True	True	False	True	True	False	4	CollecTRI:12914794;CollecTRI:14597166;CollecTRI:15666090;CollecTRI:19299558	ARACNe-GTEx_DoRothEA;CollecTRI;CytReg_CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	7	2	4	12914794;14597166;15666090;19299558
P53567	O43251	CEBPG	RBFOX2	True	True	False	True	True	False	1	CollecTRI:12915572	CollecTRI;ExTRI_CollecTRI	2	1	1	12915572
P14921	P11912	ETS1	CD79A	True	True	False	True	True	False	3	CollecTRI:1409581;CollecTRI:14500810;CollecTRI:19616560	CollecTRI;ENCODE-distal;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	4	2	3	1409581;14500810;19616560
P15036	P11912	ETS2	CD79A	True	True	False	True	True	False	1	CollecTRI:1409581	CollecTRI;ExTRI_CollecTRI	2	1	1	1409581
P17676	P16070	CEBPB	CD44	True	True	False	True	True	False	3	CollecTRI:1427600;CollecTRI:16431920;CollecTRI:20357818	CollecTRI;DoRothEA;ExTRI_CollecTRI;HOCOMOCO_DoRothEA;ReMap_DoRothEA	5	2	3	1427600;16431920;20357818
P01100	P31323	FOS	PRKAR2B	True	True	False	True	True	False	1	CollecTRI:14500661	CollecTRI;DoRothEA;ExTRI_CollecTRI;PAZAR_DoRothEA	4	2	1	14500661
Q06546	P11912	GABPA	CD79A	True	True	False	True	True	False	1	CollecTRI:14500810	CollecTRI;ENCODE-distal;ExTRI_CollecTRI;TFactS_CollecTRI	4	2	1	14500810
COMPLEX:P05412	Q03060	JUN	CREM	True	True	False	True	True	False	2	CollecTRI:14523996;CollecTRI:21757709	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	3	1	2	14523996;21757709
COMPLEX:P17275	Q03060	JUNB	CREM	True	True	False	True	True	False	2	CollecTRI:14523996;CollecTRI:21757709	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	3	1	2	14523996;21757709
COMPLEX:P17535	Q03060	JUND	CREM	True	True	False	True	True	False	2	CollecTRI:14523996;CollecTRI:21757709	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	3	1	2	14523996;21757709
P27540	P08047	ARNT	SP1	True	True	False	False	False	False	1	CollecTRI:20508969	CollecTRI;GEREDB_CollecTRI	2	1	1	20508969
P14316	P17252	IRF2	PRKCA	True	True	False	True	True	False	1	CollecTRI:14530341	CollecTRI;ExTRI_CollecTRI	2	1	1	14530341
P42224	P25445	STAT1	FAS	True	True	False	True	True	False	6	CollecTRI:11309387;CollecTRI:14602726;CollecTRI:16317104;CollecTRI:19262492;CollecTRI:22805310;DoRothEA:16317104	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;PAZAR_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA	8	2	5	11309387;14602726;16317104;19262492;22805310
P41235	Q9NSA3	HNF4A	CTNNBIP1	True	True	False	True	True	False	1	CollecTRI:14613891	CollecTRI;DoRothEA;ExTRI_CollecTRI;PAZAR_DoRothEA	4	2	1	14613891
O43474	P14635	KLF4	CCNB1	True	False	True	True	False	True	2	CollecTRI:14627709;DoRothEA:14627709	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA	7	2	1	14627709
Q99697	P30279	PITX2	CCND2	True	True	False	True	True	False	2	CollecTRI:14636578;CollecTRI:20372070	CollecTRI;ExTRI_CollecTRI	2	1	2	14636578;20372070
P22415	P30279	USF1	CCND2	True	True	False	True	True	False	1	CollecTRI:14660677	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA	6	2	1	14660677
Q15853	P30279	USF2	CCND2	True	True	False	True	True	False	1	CollecTRI:14660677	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA	6	2	1	14660677
COMPLEX:Q04206	P80188	RELA	LCN2	True	True	False	True	True	False	10	CollecTRI:14662866;CollecTRI:15536164;CollecTRI:16622025;CollecTRI:17447895;CollecTRI:19707556;CollecTRI:20220144;CollecTRI:21649922;CollecTRI:24048788;CollecTRI:24391115;CollecTRI:9339356	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	3	1	10	14662866;15536164;16622025;17447895;19707556;20220144;21649922;24048788;24391115;9339356
COMPLEX:P19838	P80188	NFKB1	LCN2	True	True	False	True	True	False	10	CollecTRI:14662866;CollecTRI:15536164;CollecTRI:16622025;CollecTRI:17447895;CollecTRI:19707556;CollecTRI:20220144;CollecTRI:21649922;CollecTRI:24048788;CollecTRI:24391115;CollecTRI:9339356	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	3	1	10	14662866;15536164;16622025;17447895;19707556;20220144;21649922;24048788;24391115;9339356
COMPLEX:Q01201	P80188	RELB	LCN2	True	True	False	True	True	False	10	CollecTRI:14662866;CollecTRI:15536164;CollecTRI:16622025;CollecTRI:17447895;CollecTRI:19707556;CollecTRI:20220144;CollecTRI:21649922;CollecTRI:24048788;CollecTRI:24391115;CollecTRI:9339356	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	3	1	10	14662866;15536164;16622025;17447895;19707556;20220144;21649922;24048788;24391115;9339356
COMPLEX:Q00653	P80188	NFKB2	LCN2	True	True	False	True	True	False	10	CollecTRI:14662866;CollecTRI:15536164;CollecTRI:16622025;CollecTRI:17447895;CollecTRI:19707556;CollecTRI:20220144;CollecTRI:21649922;CollecTRI:24048788;CollecTRI:24391115;CollecTRI:9339356	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	3	1	10	14662866;15536164;16622025;17447895;19707556;20220144;21649922;24048788;24391115;9339356
COMPLEX:Q04864	P80188	REL	LCN2	True	True	False	True	True	False	10	CollecTRI:14662866;CollecTRI:15536164;CollecTRI:16622025;CollecTRI:17447895;CollecTRI:19707556;CollecTRI:20220144;CollecTRI:21649922;CollecTRI:24048788;CollecTRI:24391115;CollecTRI:9339356	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	3	1	10	14662866;15536164;16622025;17447895;19707556;20220144;21649922;24048788;24391115;9339356
Q02086	P00374	SP2	DHFR	True	True	False	True	True	False	1	CollecTRI:14726517	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	3	1	1	14726517
Q9Y618	P24468	NCOR2	NR2F2	True	True	False	True	True	False	1	CollecTRI:14739255	CollecTRI;ExTRI_CollecTRI	2	1	1	14739255
P01106	O14965	MYC	AURKA	True	True	False	True	True	False	4	CollecTRI:14744757;CollecTRI:20519624;CollecTRI:20682043;CollecTRI:20890087	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	4	1	4	14744757;20519624;20682043;20890087
P16220	P34810	CREB1	CD68	True	True	False	True	True	False	1	CollecTRI:14754893	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	4	1	1	14754893
P18146	P29323	EGR1	EPHB2	True	True	False	True	True	False	2	CollecTRI:14770179;CollecTRI:8702507	CollecTRI;DoRothEA;ExTRI_CollecTRI;PAZAR_DoRothEA	4	2	2	14770179;8702507
O75444	P30279	MAF	CCND2	True	True	False	True	True	False	5	CollecTRI:14998494;CollecTRI:15755896;CollecTRI:17875808;CollecTRI:21163924;DoRothEA:15755896	CollecTRI;DoRothEA;ExTRI_CollecTRI;Pavlidis2021_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA	6	2	4	14998494;15755896;17875808;21163924
Q02447	P16949	SP3	STMN1	True	True	False	True	True	False	1	CollecTRI:14998783	CollecTRI;ExTRI_CollecTRI	2	1	1	14998783
COMPLEX:Q04206	P16949	RELA	STMN1	True	True	False	True	True	False	2	CollecTRI:15034025;CollecTRI:8754803	CollecTRI;ExTRI_CollecTRI	2	1	2	15034025;8754803
COMPLEX:P19838	P16949	NFKB1	STMN1	True	True	False	True	True	False	2	CollecTRI:15034025;CollecTRI:8754803	CollecTRI;ExTRI_CollecTRI	2	1	2	15034025;8754803
COMPLEX:Q01201	P16949	RELB	STMN1	True	True	False	True	True	False	2	CollecTRI:15034025;CollecTRI:8754803	CollecTRI;ExTRI_CollecTRI	2	1	2	15034025;8754803
COMPLEX:Q00653	P16949	NFKB2	STMN1	True	True	False	True	True	False	2	CollecTRI:15034025;CollecTRI:8754803	CollecTRI;ExTRI_CollecTRI	2	1	2	15034025;8754803
COMPLEX:Q04864	P16949	REL	STMN1	True	True	False	True	True	False	2	CollecTRI:15034025;CollecTRI:8754803	CollecTRI;ExTRI_CollecTRI	2	1	2	15034025;8754803
Q16665	P01033	HIF1A	TIMP1	True	True	False	True	True	False	3	CollecTRI:10334664;CollecTRI:15048879;DoRothEA:10334664	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;ExTRI_CollecTRI;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA	8	2	2	10334664;15048879
Q01196	P01033	RUNX1	TIMP1	True	True	False	True	True	False	2	CollecTRI:15051730;DoRothEA:15051730	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA	10	2	1	15051730
P04637	P19875	TP53	CXCL2	True	True	False	True	True	False	1	CollecTRI:15132979	CollecTRI;ExTRI_CollecTRI	2	1	1	15132979
Q13485	Q99102	SMAD4	MUC4	True	True	False	True	True	False	1	CollecTRI:15184872	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	3	1	1	15184872
O15105	Q99102	SMAD7	MUC4	True	False	True	True	False	True	1	CollecTRI:15184872	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	3	1	1	15184872
P04637	Q9UBT6	TP53	POLK	True	True	True	True	False	True	1	CollecTRI:15202001	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;KEGG-MEDICUS	4	2	1	15202001
Q99607	Q9UBT6	ELF4	POLK	True	True	False	True	True	False	1	CollecTRI:15202001	CollecTRI;ExTRI_CollecTRI	2	1	1	15202001
P40763	P18510	STAT3	IL1RN	True	True	False	True	True	False	4	CollecTRI:12051696;CollecTRI:15218058;CollecTRI:20032313;DoRothEA:20032313	CollecTRI;CytReg_CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA	9	2	3	12051696;15218058;20032313
O14503	P25445	BHLHE40	FAS	True	True	False	True	True	False	1	CollecTRI:15223310	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	3	1	1	15223310
P48436	Q02817	SOX9	MUC2	True	False	True	True	False	True	1	CollecTRI:15240568	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	3	1	1	15240568
P32519	P19957	ELF1	PI3	True	True	False	True	True	False	1	CollecTRI:15246963	CollecTRI;ExTRI_CollecTRI	2	1	1	15246963
P04637	P16070	TP53	CD44	True	False	True	True	False	True	5	CollecTRI:15249123;CollecTRI:18614011;CollecTRI:18971636;CollecTRI:20878064;CollecTRI:21930790	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;IntAct_DoRothEA	5	2	5	15249123;18614011;18971636;20878064;21930790
P35398	Q16665	RORA	HIF1A	True	True	False	False	False	False	1	CollecTRI:18658046	CollecTRI;GEREDB_CollecTRI	2	1	1	18658046
Q14209	O15392	E2F2	BIRC5	True	True	False	True	True	False	2	CollecTRI:15271987;CollecTRI:17916908	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI	4	1	2	15271987;17916908
O00716	O15392	E2F3	BIRC5	True	True	False	True	True	False	1	CollecTRI:15271987	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI	4	1	1	15271987
COMPLEX:Q04206	P17252	RELA	PRKCA	True	True	False	True	True	False	4	CollecTRI:15322180;CollecTRI:17007817;CollecTRI:17296604;CollecTRI:22216091	CollecTRI;ExTRI_CollecTRI	2	1	4	15322180;17007817;17296604;22216091
